sku_wo_pkg,country,brand,tier,stage,stage_3f,date,offtake_di,offtake_eib,offtake_il,sellin_eib,retailer_inv,sellout,sp_inv,sellin_di,isa,osa,price,price_krmb_per_ton_il,value_krmb_il,volume_ton_il,total_vol,if_vol,fo_vol,gum_vol,cl_vol,il_vol,0to6_month_population,6to12_month_population,12to36_month_population,sellin_il
DE_APT_PN_4,DE,APT,PN,4,GUM,3/1/2015,0,342.7452343,342.7452343,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
DE_APT_PN_5,DE,APT,PN,5,GUM,3/1/2015,0,247.7100412,247.7100412,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
DE_APT_PN_PRE,DE,APT,PN,PRE,IF,3/1/2015,0,172.8334908,172.8334908,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
NL_NC_PN_1,NL,NC,PN,1,IF,3/1/2015,0,322.2822943,322.2822943,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
NL_NC_PN_2,NL,NC,PN,2,FO,3/1/2015,0,320.1207612,320.1207612,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
NL_NC_PN_3,NL,NC,PN,3,FO,3/1/2015,0,296.6745093,296.6745093,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
NL_NC_PN_4,NL,NC,PN,4,GUM,3/1/2015,0,463.5884133,463.5884133,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
NL_NC_PN_5,NL,NC,PN,5,GUM,3/1/2015,0,259.6308344,259.6308344,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
NL_NC_PN_6,NL,NC,PN,6,GUM,3/1/2015,0,9.093258463,9.093258463,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
UK_APT_PF_1,UK,APT,PF,1,IF,3/1/2015,0,0,0,,,,,,,,,,,,37066.35849,8528.624626,9173.952166,19363.7817,29534.43317,7531.925324,981.79215,698.16012,3287.75061,0
